data,regiao,categoria,produto,canal,unidades,preco_unitario,receita,custo,lucro,satisfacao
2024-01-27,Sudeste,Vestuário,Camiseta Base,E-commerce,3,80.48,241.44,115.89,125.55,3.9
2024-01-27,Sudeste,Eletrônicos,Monitor Vista,E-commerce,3,2306.94,6920.82,6001.26,919.56,2.8
2024-01-27,Sudeste,Esporte e Lazer,Barraca Cume,E-commerce,7,509.69,3567.83,2157.39,1410.44,3.8
2024-01-27,Sudeste,Casa e Decoração,Vaso Raiz,Marketplace,4,204.01,816.04,537.23,278.81,2.7
2024-01-28,Nordeste,Esporte e Lazer,Halteres Par,E-commerce,1,328.43,328.43,219.43,109.0,3.5
2024-01-28,Nordeste,Vestuário,Calça Trilha,E-commerce,2,127.1,254.2,138.45,115.75,3.6
2024-01-28,Nordeste,Esporte e Lazer,Halteres Par,Marketplace,5,163.46,817.3,538.18,279.12,3.6
2024-01-28,Centro-Oeste,Esporte e Lazer,Bicicleta Rota,E-commerce,5,524.36,2621.8,1422.57,1199.23,3.6
2024-01-28,Norte,Vestuário,Camiseta Base,E-commerce,2,203.0,406.0,190.12,215.88,4.1
2024-01-28,Norte,Casa e Decoração,Luminária Sol,Loja física,1,280.09,280.09,170.32,109.77,4.4
2024-01-29,Sudeste,Eletrônicos,Tablet Nimbus,Loja física,4,1967.31,7869.24,6535.68,1333.56,3.4
2024-01-29,Sul,Alimentos,Granola Cheia,Loja física,3,47.49,142.47,97.97,44.5,4.1
2024-01-29,Sul,Vestuário,Jaqueta Norte,E-commerce,4,165.31,661.24,301.84,359.4,
2024-01-30,Centro-Oeste,Vestuário,Camiseta Base,Loja física,2,84.89,169.78,73.28,96.5,4.3
2024-01-30,Centro-Oeste,Casa e Decoração,Tapete Onda,E-commerce,2,378.61,757.22,477.41,279.81,4.1
2024-01-30,Centro-Oeste,Eletrônicos,Tablet Nimbus,E-commerce,1,1285.76,1285.76,1098.73,187.03,4.3
2024-01-30,Norte,Vestuário,Camiseta Base,E-commerce,2,196.48,392.96,181.48,211.48,3.7
2024-01-30,Sudeste,Esporte e Lazer,Halteres Par,Loja física,7,250.27,1751.89,1093.68,658.21,4.4
2024-01-30,Centro-Oeste,Eletrônicos,Notebook Aura,E-commerce,3,1225.95,3677.85,2898.65,779.2,3.3
2024-01-31,Centro-Oeste,Eletrônicos,Monitor Vista,E-commerce,1,1836.54,1836.54,1396.38,440.16,3.5
2024-01-31,Sudeste,Casa e Decoração,Vaso Raiz,E-commerce,3,313.94,941.82,628.78,313.04,3.7
2024-01-31,Norte,Eletrônicos,Notebook Aura,Marketplace,3,1899.8,5699.4,5175.35,524.05,3.8
2024-01-31,Nordeste,Eletrônicos,Fone Pulse,E-commerce,3,1421.49,4264.47,3091.51,1172.96,3.2
2024-01-31,Norte,Eletrônicos,Fone Pulse,E-commerce,1,1947.35,1947.35,1654.91,292.44,
2024-02-01,Centro-Oeste,Alimentos,Chá Manhã,E-commerce,3,23.75,71.25,50.66,20.59,3.6
2024-02-01,Sul,Eletrônicos,Notebook Aura,E-commerce,1,1938.82,1938.82,1579.97,358.85,3.2
2024-02-01,Nordeste,Casa e Decoração,Tapete Onda,Marketplace,2,248.07,496.14,322.97,173.17,4.0
2024-02-01,Centro-Oeste,Eletrônicos,Tablet Nimbus,E-commerce,1,1992.56,1992.56,1705.11,287.45,3.3
2024-02-01,Nordeste,Esporte e Lazer,Prancha Maré,Loja física,3,584.86,1754.58,1301.98,452.6,3.8
2024-02-02,Centro-Oeste,Alimentos,Café Serra,E-commerce,2,20.46,40.92,32.4,8.52,4.1
2024-02-02,Sul,Alimentos,Chá Manhã,E-commerce,5,53.81,269.05,199.21,69.84,3.8
2024-02-02,Centro-Oeste,Vestuário,Camiseta Base,E-commerce,3,202.63,607.89,285.05,322.84,5.0
2024-02-02,Nordeste,Esporte e Lazer,Barraca Cume,E-commerce,3,276.47,829.41,520.37,309.04,4.0
2024-02-02,Sudeste,Eletrônicos,Tablet Nimbus,Loja física,8,1972.53,15780.24,13803.61,1976.63,3.0
2024-02-02,Sudeste,Eletrônicos,Monitor Vista,E-commerce,3,1766.38,5299.14,4324.81,974.33,
2024-02-02,Nordeste,Esporte e Lazer,Prancha Maré,Loja física,7,517.74,3624.18,2430.84,1193.34,3.9
2024-02-02,Sudeste,Eletrônicos,Monitor Vista,E-commerce,9,2265.72,20391.48,18629.56,1761.92,3.1
2024-02-03,Sudeste,Eletrônicos,Notebook Aura,Loja física,2,762.22,1524.44,1198.11,326.33,4.6
2024-02-03,Sudeste,Eletrônicos,Monitor Vista,E-commerce,4,2345.42,9381.68,7627.29,1754.39,3.5
2024-02-03,Sudeste,Eletrônicos,Monitor Vista,Loja física,7,1971.05,13797.35,10905.5,2891.85,3.4
2024-02-03,Norte,Eletrônicos,Fone Pulse,E-commerce,2,1594.95,3189.9,2700.96,488.94,3.8
2024-02-03,Sudeste,Casa e Decoração,Luminária Sol,Marketplace,9,259.58,2336.22,1515.44,820.78,3.4
2024-02-04,Sudeste,Esporte e Lazer,Prancha Maré,Marketplace,2,269.45,538.9,366.08,172.82,3.9
2024-02-04,Sudeste,Eletrônicos,Monitor Vista,Loja física,3,1608.2,4824.6,3533.06,1291.54,4.2
2024-02-04,Norte,Alimentos,Azeite Oliva,Marketplace,4,48.57,194.28,151.32,42.96,4.3
2024-02-05,Sul,Eletrônicos,Notebook Aura,E-commerce,2,1510.26,3020.52,2418.71,601.81,4.0
2024-02-05,Sudeste,Alimentos,Azeite Oliva,E-commerce,5,29.28,146.4,118.44,27.96,3.4
2024-02-05,Sudeste,Esporte e Lazer,Prancha Maré,E-commerce,3,611.99,1835.97,1166.44,669.53,3.1
2024-02-05,Sul,Casa e Decoração,Vaso Raiz,Marketplace,7,326.71,2286.97,1717.82,569.15,3.6
2024-02-06,Nordeste,Casa e Decoração,Vaso Raiz,E-commerce,2,590.34,1180.68,744.94,435.74,3.6
2024-02-06,Sudeste,Eletrônicos,Notebook Aura,E-commerce,5,2028.12,10140.6,7324.02,2816.58,2.7
2024-02-06,Sul,Vestuário,Camiseta Base,Loja física,3,191.39,574.17,304.97,269.2,3.5
2024-02-06,Sudeste,Esporte e Lazer,Barraca Cume,E-commerce,2,250.76,501.52,374.7,126.82,3.1
2024-02-06,Centro-Oeste,Vestuário,Jaqueta Norte,Loja física,3,147.0,441.0,193.75,247.25,3.6
2024-02-06,Sudeste,Eletrônicos,Notebook Aura,E-commerce,6,1884.89,11309.34,9654.26,1655.08,4.4
2024-02-07,Sudeste,Eletrônicos,Fone Pulse,E-commerce,6,2061.91,12371.46,10134.92,2236.54,4.4
2024-02-07,Sul,Alimentos,Chá Manhã,E-commerce,4,35.55,142.2,103.51,38.69,3.2
2024-02-07,Centro-Oeste,Eletrônicos,Tablet Nimbus,Loja física,3,1566.67,4700.01,4023.03,676.98,3.6
2024-02-07,Nordeste,Alimentos,Granola Cheia,E-commerce,2,57.95,115.9,84.08,31.82,3.1
2024-02-07,Sul,Eletrônicos,Notebook Aura,E-commerce,4,1986.2,7944.8,6581.98,1362.82,4.5
2024-02-07,Centro-Oeste,Eletrônicos,Monitor Vista,E-commerce,2,2061.08,4122.16,3133.69,988.47,4.4
2024-02-07,Norte,Eletrônicos,Fone Pulse,Loja física,2,2051.67,4103.34,3452.12,651.22,4.0
2024-02-07,Norte,Alimentos,Café Serra,Loja física,3,36.53,109.59,76.89,32.7,4.1
2024-02-07,Nordeste,Eletrônicos,Notebook Aura,E-commerce,8,1208.27,9666.16,8565.19,1100.97,3.6
2024-02-07,Centro-Oeste,Alimentos,Café Serra,Marketplace,4,39.63,158.52,140.85,17.67,4.1
2024-02-08,Norte,Esporte e Lazer,Bicicleta Rota,E-commerce,4,143.5,574.0,346.28,227.72,4.2
2024-02-08,Nordeste,Alimentos,Café Serra,Marketplace,2,48.04,96.08,70.9,25.18,4.4
2024-02-08,Sul,Vestuário,Calça Trilha,E-commerce,4,248.89,995.56,344.7,650.86,3.5
2024-02-09,Sul,Casa e Decoração,Tapete Onda,E-commerce,5,112.0,560.0,317.43,242.57,3.7
2024-02-09,Nordeste,Eletrônicos,Notebook Aura,E-commerce,4,2244.98,8979.92,7413.1,1566.82,2.7
2024-02-09,Sul,Eletrônicos,Tablet Nimbus,E-commerce,6,2111.32,12667.92,10108.42,2559.5,3.9
2024-02-10,Nordeste,Casa e Decoração,Vaso Raiz,Loja física,2,323.13,646.26,413.11,233.15,4.0
2024-02-10,Norte,Casa e Decoração,Luminária Sol,Loja física,2,437.32,874.64,541.49,333.15,4.2
2024-02-10,Sul,Eletrônicos,Tablet Nimbus,Loja física,2,1510.53,3021.06,2698.52,322.54,2.7
2024-02-10,Sudeste,Vestuário,Camiseta Base,Loja física,5,94.29,471.45,200.79,270.66,3.0
2024-02-10,Sul,Alimentos,Granola Cheia,Loja física,3,66.03,198.09,147.05,51.04,3.8
2024-02-10,Nordeste,Eletrônicos,Fone Pulse,E-commerce,3,2099.83,6299.49,5665.57,633.92,4.0
2024-02-10,Centro-Oeste,Casa e Decoração,Cadeira Foco,Marketplace,1,147.43,147.43,101.96,45.47,3.6
2024-02-11,Norte,Alimentos,Azeite Oliva,E-commerce,2,38.26,76.52,55.2,21.32,2.6
2024-02-11,Nordeste,Eletrônicos,Notebook Aura,E-commerce,3,1829.8,5489.4,3848.89,1640.51,3.8
2024-02-11,Sudeste,Casa e Decoração,Tapete Onda,Loja física,5,240.21,1201.05,757.22,443.83,3.4
2024-02-11,Sul,Esporte e Lazer,Barraca Cume,Loja física,8,413.68,3309.44,2069.85,1239.59,3.3
2024-02-11,Sul,Vestuário,Camiseta Base,E-commerce,5,216.57,1082.85,519.46,563.39,3.7
2024-02-12,Sudeste,Esporte e Lazer,Barraca Cume,E-commerce,5,425.88,2129.4,1373.6,755.8,4.0
2024-02-12,Nordeste,Alimentos,Café Serra,E-commerce,6,41.57,249.42,185.17,64.25,3.4
2024-02-12,Nordeste,Casa e Decoração,Cadeira Foco,E-commerce,1,316.07,316.07,193.83,122.24,2.9
2024-02-12,Norte,Esporte e Lazer,Halteres Par,E-commerce,1,289.91,289.91,142.88,147.03,4.2
2024-02-12,Sudeste,Esporte e Lazer,Bicicleta Rota,E-commerce,1,260.84,260.84,154.55,106.29,3.8
2024-02-13,Nordeste,Eletrônicos,Tablet Nimbus,Loja física,2,2129.42,4258.84,3479.91,778.93,3.7
2024-02-13,Norte,Eletrônicos,Tablet Nimbus,Loja física,2,990.07,1980.14,1598.3,381.84,3.5
2024-02-13,Centro-Oeste,Vestuário,Calça Trilha,E-commerce,2,225.19,450.38,226.45,223.93,3.6
2024-02-13,Sudeste,Esporte e Lazer,Halteres Par,Loja física,4,655.66,2622.64,1497.06,1125.58,3.8
2024-02-14,Sul,Vestuário,Camiseta Base,Loja física,3,227.42,682.26,337.56,344.7,5.0
2024-02-14,Sudeste,Vestuário,Calça Trilha,Loja física,7,188.92,1322.44,583.45,738.99,3.7
2024-02-14,Norte,Casa e Decoração,Vaso Raiz,Loja física,1,412.76,412.76,266.19,146.57,4.3
2024-02-14,Nordeste,Vestuário,Jaqueta Norte,Loja física,4,78.74,314.96,165.19,149.77,3.3
2024-02-14,Sudeste,Eletrônicos,Fone Pulse,Loja física,6,2643.18,15859.08,13156.76,2702.32,3.7
2024-02-14,Sudeste,Casa e Decoração,Cadeira Foco,Loja física,8,209.46,1675.68,915.14,760.54,3.7
2024-02-14,Sudeste,Alimentos,Azeite Oliva,Loja física,3,37.61,112.83,92.94,19.89,4.1
2024-02-14,Norte,Esporte e Lazer,Halteres Par,E-commerce,3,339.24,1017.72,703.24,314.48,3.8
2024-02-14,Norte,Vestuário,Tênis Passo,E-commerce,3,92.36,277.08,136.46,140.62,4.2
2024-02-14,Nordeste,Eletrônicos,Notebook Aura,Loja física,3,2262.29,6786.87,5627.0,1159.87,3.5
2024-02-14,Sudeste,Alimentos,Azeite Oliva,Loja física,5,82.22,411.1,296.59,114.51,4.7
2024-02-15,Nordeste,Esporte e Lazer,Barraca Cume,E-commerce,3,251.14,753.42,442.42,311.0,5.0
2024-02-15,Nordeste,Casa e Decoração,Vaso Raiz,E-commerce,2,406.82,813.64,478.69,334.95,3.9
2024-02-16,Nordeste,Casa e Decoração,Luminária Sol,E-commerce,4,548.07,2192.28,1205.76,986.52,3.3
2024-02-16,Sul,Alimentos,Chá Manhã,Loja física,3,47.33,141.99,102.16,39.83,5.0
2024-02-16,Sul,Casa e Decoração,Luminária Sol,E-commerce,2,232.19,464.38,230.39,233.99,3.2
2024-02-16,Sudeste,Eletrônicos,Monitor Vista,Loja física,4,2149.12,8596.48,6724.28,1872.2,4.1
2024-02-17,Norte,Vestuário,Tênis Passo,E-commerce,3,183.61,550.83,271.91,278.92,5.0
2024-02-17,Centro-Oeste,Alimentos,Chá Manhã,Loja física,2,42.35,84.7,69.64,15.06,2.7
2024-02-17,Centro-Oeste,Eletrônicos,Fone Pulse,E-commerce,5,1916.21,9581.05,7683.56,1897.49,2.9
2024-02-17,Nordeste,Casa e Decoração,Luminária Sol,Loja física,7,307.94,2155.58,1062.53,1093.05,4.3
2024-02-18,Sudeste,Esporte e Lazer,Halteres Par,E-commerce,4,236.83,947.32,705.3,242.02,4.3
2024-02-18,Sudeste,Casa e Decoração,Tapete Onda,E-commerce,3,550.99,1652.97,936.48,716.49,4.0
2024-02-18,Sul,Eletrônicos,Monitor Vista,E-commerce,4,2617.39,10469.56,9388.68,1080.88,3.9
